danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.565,0.636,-5.855,0.0319,0.0484,0.0331,0.0979,0.16,170.0,227427
0.756,0.962,-7.526,0.0583,0.0671,0.703,0.194,0.749,136.981,358267
0.73,0.589,-6.685,0.0634,0.15,0.118,0.198,0.0585,118.044,277787
0.703,0.873,-9.467,0.0562,0.0189,0.57,0.316,0.534,136.0,277239
0.748,0.66,-9.286,0.0631,0.00714,0.916,0.0512,0.963,116.001,368707
0.74,0.615,-9.66,0.0905,5.09e-05,0.859,0.0882,0.504,137.052,310855
0.711,0.769,-8.113,0.0364,0.19,0.928,0.146,0.482,124.987,374562
0.632,0.946,-5.586,0.066,0.045,0.0127,0.056,0.378,130.037,219187
0.713,0.923,-4.555,0.0442,0.00193,0.0426,0.0879,0.363,129.985,221500
0.531,0.89,-6.308,0.144,0.00198,0.497,0.0913,0.411,169.963,152559
0.807,0.902,-8.213,0.0517,7.11e-05,0.926,0.222,0.514,122.994,320653
0.654,0.786,-10.383,0.0391,0.00361,0.858,0.259,0.637,121.995,240041
0.605,0.973,-3.214,0.0806,0.00063,0.0995,0.455,0.49,128.014,176367
0.769,0.842,-8.6,0.0505,0.00839,0.892,0.0621,0.347,134.02,320000
0.486,0.444,-17.831,0.0945,0.229,0.814,0.109,0.468,140.048,246333
0.598,0.922,-5.182,0.213,0.0508,0.0,0.347,0.531,137.954,228067
0.617,0.916,-5.937,0.12,0.0257,0.00036,0.0654,0.246,133.959,245821
0.788,0.759,-6.651,0.0458,0.0122,0.1,0.0713,0.829,130.009,187251
0.715,0.945,-6.464,0.0615,0.031,0.0845,0.268,0.599,132.005,238830
0.492,0.943,-8.267,0.0378,0.0924,0.956,0.273,0.813,128.0,217500
0.634,0.659,-7.143,0.0263,0.373,0.00325,0.161,0.38,126.977,257431
0.784,0.489,-10.5,0.101,0.0199,0.00379,0.0932,0.468,126.048,197545
0.688,0.671,-10.486,0.039,7.25e-05,0.86,0.0818,0.716,128.002,363750
0.651,0.92,-7.123,0.0453,0.00371,0.692,0.0913,0.54,134.027,314142
0.61,0.886,-6.739,0.0491,0.0133,0.00138,0.0877,0.81,139.985,207841
0.719,0.671,-8.597,0.0493,0.00457,0.841,0.121,0.598,133.97,202388
0.605,0.767,-7.932,0.0368,0.0188,0.948,0.073,0.323,109.995,317184
0.793,0.751,-10.423,0.0429,0.903,0.939,0.0947,0.189,128.009,319943
0.644,0.584,-8.505,0.0384,0.139,0.00294,0.342,0.501,84.495,178520
0.845,0.581,-10.676,0.123,0.0438,0.000125,0.101,0.49,126.97,168375
0.451,0.83,-6.777,0.0402,0.904,0.929,0.145,0.863,120.02,304000
