danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.814,0.502,-10.517,0.0734,0.0228,0.546,0.18,0.797,122.023,5V6zXDdVD7l87y5AxtvUoR,167089
0.595,0.456,-11.585,0.0299,0.164,0.59,0.114,0.518,122.017,6BIwfeKvv16gjDnoYSGTdo,212882
0.708,0.666,-8.561,0.0449,0.0399,0.000563,0.509,0.795,123.031,3g8OkwMxW6PJ4CWgEN6R1H,118598
0.793,0.453,-11.031,0.478,0.64,0.0,0.118,0.716,76.021,4qpFTWOjbrKueLNSDdjigo,206311
0.837,0.881,-5.106,0.0563,0.0465,0.21,0.602,0.205,125.065,1iV2awZB7fKegkMmgbhHaV,146660
0.679,0.826,-10.487,0.0744,0.00106,0.264,0.449,0.0399,124.016,5aTCZ0Hc3GtpqcC6mCKTyY,191251
0.688,0.541,-11.728,0.166,0.384,0.00012,0.114,0.465,138.908,1Ztzzizm7xvOtbOWgPnMT0,187687
0.72,0.737,-10.362,0.0604,0.00232,0.922,0.139,0.145,126.014,6sDTqjfFSaQzyrm0V55Hlu,176726
0.632,0.801,-9.645,0.0496,0.0144,0.00626,0.0636,0.753,112.984,4m3PDy4WIPrlyI94XAZcGb,191832
0.875,0.687,-8.509,0.0346,0.00989,0.802,0.651,0.962,126.594,68aPLEBwJmpYMuurXihCct,175485
0.672,0.517,-10.311,0.15,0.688,0.000468,0.449,0.413,128.016,2u1ioR9wjR4FqSPLPoeQvb,120693
0.641,0.764,-11.266,0.0486,0.0146,0.682,0.0765,0.272,126.003,5cTlfi5VG3ziOXtAh3CV4c,232381
0.878,0.666,-8.721,0.343,0.0228,2.63e-06,0.0794,0.367,126.001,0ra2NmkSqQzmRE5DUdNUTb,162333
0.764,0.787,-10.216,0.0418,0.00243,0.168,0.109,0.267,117.981,1I7e4AyVqSBOoh6GHttqws,164272
0.376,0.506,-11.175,0.166,0.547,0.000245,0.117,0.348,77.812,7HyQKWEzycUMPaKnPWcZet,207268
0.414,0.426,-12.223,0.0351,0.251,0.877,0.0995,0.0394,158.044,6UUOkhXDWTqVYjzqNJ1F0x,187993
0.74,0.839,-8.01,0.0521,0.0752,0.616,0.0746,0.725,129.033,3y8UYe62ldlvxRgAFGovZq,181618
0.877,0.465,-11.719,0.455,0.394,0.00069,0.131,0.323,119.878,7J1idk8GVjvHVh76gMRQtl,153000
0.782,0.5,-6.473,0.0611,0.342,1.88e-05,0.133,0.28,102.008,3mRlFZHUyvJbPTlkzg4LyJ,173611
0.826,0.368,-9.753,0.055,0.501,0.0022,0.114,0.382,111.992,4ml7mrfUUxg8VtLwnu38nr,192800
0.673,0.642,-11.907,0.0449,0.326,0.0274,0.109,0.0744,115.973,2BmB9dEutF0cDtI5IbT8IE,217367
0.686,0.7,-11.281,0.0663,0.206,0.0374,0.143,0.507,119.953,2PspwQLfDzLUOyaxQ7de5L,139558
0.618,0.716,-6.426,0.0268,0.443,0.0213,0.393,0.953,109.98,6E8XDoU8B9MbYbcAQ2IUBl,202914
0.56,0.724,-6.59,0.0274,0.000425,0.495,0.121,0.386,127.016,3Xd0819paqFQB4LBA8XVb0,318420
0.473,0.742,-4.874,0.201,2.95e-05,0.144,0.176,0.645,162.935,0Krxo9CPCj98TR3QHqSb8N,177470
0.839,0.434,-10.267,0.33,0.519,3.55e-06,0.196,0.595,159.962,0ZRKOmFI20AOF2XNKyL4kZ,197932
0.753,0.665,-7.771,0.0473,0.279,4.01e-05,0.11,0.593,140.049,6GXSZaHXyN3QJ7QeoMQSw3,249161
0.674,0.571,-10.863,0.0424,0.017,0.128,0.406,0.641,115.314,4bq9akE1BhJPFMd6SZBQa6,266435
0.706,0.583,-8.711,0.0502,0.0125,0.828,0.0803,0.0653,106.021,7ey8VyqgIjVqXQWM2kWkZM,242077
0.776,0.537,-10.769,0.0984,0.00573,0.00163,0.102,0.332,116.041,2CwWU5UFHrIHUuGyN7pf5E,187759
0.689,0.657,-10.419,0.0449,0.00843,0.459,0.15,0.802,116.872,2OzxUMVcb8RakhwGRJwZGK,216600
0.784,0.65,-5.419,0.0283,0.438,0.166,0.135,0.785,110.019,3zRhKaZXEUGrJqMGN5KtXy,213865
0.726,0.542,-11.18,0.329,0.42,0.00144,0.0962,0.789,89.296,6EjgpCbSTdNMjFiBVCQwxt,282345
0.586,0.261,-14.328,0.0635,0.918,0.000591,0.0794,0.0746,74.255,5vVWrefc29nd8RdBu7wdfv,194587
0.667,0.547,-12.841,0.0355,0.0364,0.424,0.115,0.182,122.012,4mCk2GnFtnSGN8qzaV8xKu,269508
0.758,0.524,-11.841,0.0835,0.00314,0.197,0.513,0.501,115.954,1tn1ATtQZRowNVBNIXolxJ,196365
0.693,0.734,-7.768,0.0641,0.064,0.00881,0.0507,0.382,108.0,378HDaqOZxzBkEIHzBzAJr,304413
0.787,0.612,-9.456,0.0546,0.0867,0.129,0.099,0.199,124.013,5bRuN9292QEQbwPXvbAWEf,286937
0.769,0.754,-6.716,0.0471,0.0345,0.325,0.081,0.616,118.004,5EHEEtGjuDstWdlPJk8aiY,267074
0.848,0.697,-5.814,0.0771,0.0153,0.0206,0.0819,0.964,149.998,7BShG8FX4glHiyOrh7dbET,241187
0.684,0.789,-6.889,0.0377,0.084,0.00289,0.217,0.411,123.989,4NbvIwYcwx8dNGYfUX2bKB,205161
0.742,0.405,-3.133,0.0507,0.207,0.223,0.08,0.79,138.077,1LC6p9xSpZBogQMqlWZ5SZ,224800
0.76,0.964,-5.844,0.0577,0.00181,0.703,0.0975,0.643,125.003,1hc9zsKiEnHCYDm7K6ZHHG,248036
0.805,0.779,-6.217,0.0381,0.00182,0.846,0.0831,0.567,125.012,5S7Y5HgQ2HPqiCVkKylT2r,400115
0.814,0.622,-7.573,0.0492,0.000132,0.72,0.0658,0.726,119.976,61UQzeiIluhpzpMdY4ag3q,259934
0.824,0.745,-5.49,0.0755,0.0467,3.29e-05,0.198,0.888,125.013,7dsImih2L25fa6qjNphBI7,210547
0.45,0.846,-4.712,0.0472,0.00523,0.0,0.228,0.402,140.042,04OxTCLGgDKfO0MMA2lcxv,233667
0.707,0.881,-7.295,0.0525,0.00581,0.0015,0.353,0.854,120.0,0H0UyIakng8mEncqwN3ah7,340268
0.674,0.731,-5.211,0.133,0.0232,7.99e-06,0.0856,0.507,139.898,47uhrF6IvyE2eUyyfLAEzf,219120
0.318,0.836,-5.173,0.0797,0.000751,0.164,0.132,0.382,182.394,5je1EimWTwYw2p8XVym99q,256307
0.813,0.983,-5.515,0.153,0.00177,0.546,0.502,0.77,125.007,3fDgxdcf0jeJgGiZJGUmyK,238080
0.794,0.89,-9.438,0.0431,0.0177,0.468,0.0838,0.77,125.003,1GZJu6ciZ55S8Kp1s8Z5ex,236160
0.577,0.883,-6.423,0.0298,0.0259,0.0706,0.118,0.255,122.987,3MkuFR7t25mu7Iscp6GGiV,214483
0.67,0.848,-5.103,0.0538,0.00172,0.00168,0.385,0.457,124.031,5zdkUzguZYAfBH9fnWn3Zl,174122
0.781,0.725,-6.486,0.0615,0.0366,0.00291,0.161,0.619,122.003,6PUqoHHVVIdcdlKaCAHt23,151230
0.877,0.62,-9.069,0.0549,0.00406,0.388,0.0549,0.296,120.997,6wp5tGVNQYpKJPo1s3WUEY,383552
0.522,0.868,-5.307,0.0412,0.0446,1.3e-06,0.635,0.514,173.96,3NKLPcvDM0pefpLNcmui2W,228827
0.421,0.896,-5.696,0.103,0.000174,0.039,0.323,0.169,174.065,5ami95W9OOWQPwrBb5tud5,304107
0.706,0.74,-7.904,0.0325,0.0245,0.512,0.135,0.444,122.007,1HrMWH5GUdK6Yi94rbANJA,223869
0.895,0.561,-7.813,0.0766,0.0209,0.00315,0.199,0.678,125.989,5QTlj4L7ODIKNnTkhDE16p,200005
0.8,0.846,-7.518,0.0624,0.0277,0.877,0.0896,0.211,127.008,08d1uFAAtQgLbuvyP2AkoH,272395
0.556,0.948,-5.522,0.0886,0.000667,0.103,0.0505,0.505,174.975,5k3jdIh7BpJaV1DntDQoSD,250667
0.85,0.755,-6.832,0.0597,0.0136,0.565,0.0216,0.534,124.02,4ZOuB9nVbvyeEIYKbm55O4,351606
0.764,0.977,-5.729,0.0515,0.00506,0.868,0.66,0.96,126.015,6TvYtabYoc5plSB9kJpgOs,228571
0.766,0.947,-6.097,0.0361,0.00504,0.0513,0.282,0.71,129.973,3qqEFTIFcZuWJYBtshrxca,194308
0.543,0.74,-5.187,0.0557,0.148,0.00358,0.142,0.6,123.915,6jz9EMWHffNKVlZQVXOLoz,205773
0.759,0.909,-7.85,0.0373,0.301,0.844,0.0998,0.471,128.188,3qOuySPLpVyBXLuTNMgbRj,371533
0.82,0.568,-9.495,0.049,0.00632,0.718,0.0722,0.724,115.988,5RJc9Ex116Dx1zHGUOZGgX,399310
0.803,0.858,-4.019,0.0538,0.0111,0.096,0.0766,0.862,121.989,5SB73InpxuEQ20qEWhOQFV,158115
0.794,0.896,-1.514,0.0677,0.00371,0.615,0.0876,0.5,125.999,46rZgRYU1H5Xnv0n75OGis,190476
